channel,mean_abs,rms,mean_p2p,mean_abs_rel,rms_rel,mean_p2p_rel
FZ,0.0201081015877028,0.025819888974716307,0.13787340762102218,1.049502335513774,0.999999999999912,0.8865884516877444
CZ,0.02009916262172807,0.025819888974716345,0.144803976218728,1.0490357839784816,0.9999999999999135,0.9311551465158399
CPZ,0.020086549275155845,0.02581988897471774,0.1612899068127558,1.0483774554620646,0.9999999999999675,1.0371671464525274
P2,0.019978636626659618,0.025819888974716657,0.13089012326862806,1.0427451695829477,0.9999999999999255,0.841682770682872
F2,0.019926107504503344,0.025819888974716487,0.13793318394842494,1.0400035166156079,0.999999999999919,0.8869728405446968
F1,0.019916028808352536,0.02581988897471648,0.14229358829962968,1.0394774791325034,0.9999999999999187,0.915012215281074
P1,0.019911680980987667,0.02581988897471658,0.12964235284910522,1.0392505529379077,0.9999999999999226,0.8336590417898622
PO6,0.019904730621996127,0.02581988897473498,0.16351268850714346,1.0388877927856146,1.0000000000006353,1.0514606394100956
P3,0.019901942015195708,0.025819888974718902,0.14663211623311237,1.0387422470046215,1.0000000000000124,0.9429109147440149
CP2,0.019850020958502138,0.02581988897471638,0.1302711530272208,1.0360323308037023,0.9999999999999148,0.8377025117087957
PO5,0.019836757588025795,0.02581988897472837,0.16291758465901984,1.0353400755835367,1.0000000000003793,1.047633852153545
PZ,0.019829038284346078,0.02581988897471629,0.13031426568491666,1.0349371818938928,0.9999999999999113,0.8379797456228205
C1,0.019820572491546208,0.025819888974716237,0.12833361471217153,1.0344953266905716,0.9999999999999093,0.8252432628625861
CP1,0.019798923543121908,0.025819888974716244,0.1284747741495994,1.033365402921606,0.9999999999999095,0.8261509819741227
PO3,0.01976066447959296,0.02581988897472293,0.15083405058212224,1.0313685472585754,1.0000000000001685,0.9699312555977226
FCZ,0.01971993411093814,0.02581988897471636,0.13203234263843897,1.029242706743839,0.999999999999914,0.8490277585238339
FC1,0.019715150879763804,0.025819888974716848,0.13238277978925184,1.028993055514116,0.9999999999999329,0.8512812281110009
POZ,0.0197139107910584,0.025819888974716567,0.1348819715960069,1.0289283315526376,0.9999999999999221,0.8673521632728575
CP4,0.019695002499184905,0.02581988897471655,0.13683714943254474,1.0279414508968354,0.9999999999999214,0.8799248422308988
FC2,0.019682138695322506,0.02581988897471692,0.12771136457391924,1.027270050260714,0.9999999999999357,0.8212419126663828
PO4,0.019676126213634373,0.025819888974718437,0.14546218874594166,1.026956240747349,0.9999999999999944,0.9353877511598615
PO7,0.01966117315065714,0.0258198889747245,0.17506046761273503,1.0261757953905737,1.0000000000002294,1.1257180888654719
C2,0.01964413649113446,0.025819888974716248,0.12502600331023359,1.0252866008596815,0.9999999999999097,0.8039738235832615
P4,0.019596548634136648,0.025819888974717774,0.14117891011055445,1.0228028473912865,0.9999999999999688,0.9078443297052073
CP3,0.01958731134723864,0.025819888974716338,0.12744795521926663,1.0223207255892364,0.9999999999999132,0.8195480712220381
P6,0.01955087476286006,0.025819888974718673,0.1521238752640984,1.020418990597662,1.0000000000000036,0.9782254124440174
PO8,0.019522802160152265,0.02581988897473348,0.16908044672789377,1.01895379698019,1.000000000000577,1.0872638463191129
O2,0.019518522930954504,0.02581988897472096,0.1708795933115538,1.0187304511303763,1.0000000000000921,1.0988331736570647
POO7,0.019444283788691386,0.025819888974721046,0.1790089741207924,1.0148556868791685,1.0000000000000955,1.151108773928396
C4,0.019440867556851635,0.025819888974716383,0.14023418900203818,1.0146773834585876,0.999999999999915,0.9017693451282072
O1,0.019377711220006963,0.025819888974721966,0.16955993235954403,1.0113810641749457,1.0000000000001312,1.0903471560820792
OZ,0.019366678730892675,0.025819888974716907,0.15420252039913535,1.010805245366717,0.9999999999999353,0.9915920420477936
FC3,0.019299165165441962,0.025819888974716876,0.14677000588729652,1.00728150920941,0.999999999999934,0.9437976076684614
POO8,0.019282288611287023,0.02581988897472024,0.18084130717603777,1.0064006710594842,1.0000000000000644,1.1628915053082693
P5,0.01926628643206479,0.025819888974718683,0.1485007442301915,1.0055654691686546,1.000000000000004,0.9549270390372839
FC4,0.019249885086903666,0.025819888974716945,0.13715035476594564,1.0047094336062177,0.9999999999999367,0.8819388943704058
C3,0.01923917523101193,0.02581988897471632,0.13825215719723524,1.0041504539968116,0.9999999999999125,0.889023982992484
F3,0.019232552216055993,0.025819888974718756,0.16852839188690738,1.0038047789148512,1.0000000000000069,1.083713883674669
P7,0.019151083002818505,0.025819888974719037,0.16664044102839323,0.9995526555011967,1.0000000000000178,1.0715735046313544
F4,0.019127674819721104,0.025819888974716747,0.16522347530644146,0.9983309119803723,0.9999999999999291,1.0624617733178514
P8,0.019104369986823605,0.025819888974717847,0.15877032592306722,0.9971145626175044,0.9999999999999717,1.0209651002535154
CP5,0.019000852426959473,0.02581988897471672,0.14480288087735324,0.9917116696407485,0.999999999999928,0.9311481029747373
TP8,0.018981907025781623,0.025819888974716557,0.18113638932946322,0.9907228521386746,0.9999999999999216,1.1647890171928328
AF4,0.018910422923066467,0.025819888974716786,0.1756719441933049,0.9869918816925365,0.9999999999999305,1.1296501602066031
CP6,0.01889681796389467,0.02581988897471658,0.14888793423426008,0.9862817979303725,0.9999999999999226,0.9574168461156708
AF3,0.018829738501413874,0.025819888974720834,0.1793254128147141,0.9827807189134624,1.0000000000000873,1.1531436180403898
TP7,0.01877863427412649,0.02581988897472234,0.17312269478231934,0.980113435497432,1.0000000000001457,1.1132573319792478
C5,0.01853685317533956,0.025819888974716432,0.15320955129817135,0.9674941523317278,0.9999999999999168,0.9852068010286023
C6,0.018531854467148865,0.02581988897471633,0.1616226616460723,0.9672332547080607,0.999999999999913,1.0393069107301511
TP9,0.01850406953055081,0.025819888974716203,0.16570384780267064,0.9657830752505631,0.999999999999908,1.065550786021707
F6,0.018357118373846168,0.025819888974719447,0.17553907445339592,0.9581132521449205,1.0000000000000335,1.128795747604386
TP10,0.018347918127239408,0.025819888974716192,0.16171017001834284,0.9576330635871402,0.9999999999999075,1.0398696291950076
T7,0.018341675095171067,0.02581988897472046,0.17470197939999005,0.9573072209556102,1.0000000000000728,1.123412847303883
F5,0.018276343634213637,0.02581988897471817,0.17595557395408473,0.953897375398669,0.9999999999999841,1.131474028019848
FT8,0.018274449451444272,0.025819888974718777,0.16468603680645,0.953798512299551,1.0000000000000075,1.0590058003655143
F8,0.018201148588910854,0.025819888974720415,0.1742011583734363,0.949972719691111,1.000000000000071,1.1201923412892245
FT7,0.018160068957623746,0.025819888974717833,0.1774587626550086,0.9478286501085189,0.9999999999999711,1.1411402121371643
T8,0.017983442536859587,0.02581988897471774,0.16823492899613202,0.9386099856663824,0.9999999999999675,1.0818267843822837
F7,0.01791472247080981,0.025819888974717826,0.17911494090156646,0.9350232786119478,0.9999999999999708,1.1517901883194515
FC6,0.0179120228414591,0.025819888974717015,0.16336781673110876,0.9348823768318253,0.9999999999999394,1.0505290482800578
FC5,0.0178372740285334,0.02581988897471642,0.1671400588953587,0.9309810113349264,0.9999999999999164,1.0747862737849683
FP2,0.017777458247263213,0.025819888974717792,0.18451740882874823,0.9278590456998395,0.9999999999999695,1.1865305037834646
FP1,0.01769465138697945,0.025819888974720203,0.182506958536204,0.9235371064613029,1.0000000000000628,1.1736023979012815
FPZ,0.017573838060042386,0.025819888974717833,0.17021986722070975,0.9172314953508448,0.9999999999999711,1.0945908361134304
