2025-10-21 12:10:36 | INFO | root | Attacking pgd on seediv with eegnet
2025-10-21 12:10:36 | INFO | root | Namespace(dataset='seediv', model='eegnet', fold=0, attack='pgd', batch_size=32, seed=42, gpu_id=0)
2025-10-21 12:10:36 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2025-10-21 12:10:40 | INFO | root | Dataset: seediv
2025-10-21 12:10:40 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2025-10-21 12:10:40 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-10-21 12:10:40 | INFO | root | Model: eegnet, fold: 0
2025-10-21 12:10:40 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2025-10-21 12:10:40 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-10-21 12:10:40 | INFO | root | Sample num in test set: 3758
2025-10-21 12:10:40 | INFO | root | test dataset size: 3758
2025-10-21 12:10:41 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 1/118
2025-10-21 12:10:42 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 2/118
2025-10-21 12:10:43 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 3/118
2025-10-21 12:10:44 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 4/118
2025-10-21 12:10:45 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 5/118
2025-10-21 12:10:46 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 6/118
2025-10-21 12:10:47 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 7/118
2025-10-21 12:10:48 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 8/118
2025-10-21 12:10:49 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 9/118
2025-10-21 12:10:50 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 10/118
2025-10-21 12:10:51 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 11/118
2025-10-21 12:10:52 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 12/118
2025-10-21 12:10:53 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 13/118
2025-10-21 12:10:54 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 14/118
2025-10-21 12:10:55 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 15/118
2025-10-21 12:10:56 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 16/118
2025-10-21 12:10:57 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 17/118
2025-10-21 12:10:58 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 18/118
2025-10-21 12:10:59 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 19/118
2025-10-21 12:11:00 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 20/118
2025-10-21 12:11:01 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 21/118
2025-10-21 12:11:02 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 22/118
2025-10-21 12:11:03 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 23/118
2025-10-21 12:11:04 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 24/118
2025-10-21 12:11:05 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 25/118
2025-10-21 12:11:06 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 26/118
2025-10-21 12:11:07 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 27/118
2025-10-21 12:11:08 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 28/118
2025-10-21 12:11:09 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 29/118
2025-10-21 12:11:10 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 30/118
2025-10-21 12:11:11 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 31/118
2025-10-21 12:11:12 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 32/118
2025-10-21 12:11:13 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 33/118
2025-10-21 12:11:14 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 34/118
2025-10-21 12:11:15 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 35/118
2025-10-21 12:11:16 | INFO | root | Attacking pgd on seediv with eegnet, fold: 0, batch: 36/118
