2026-01-07 03:23:15 | INFO | root | Purifying autoattack on seediv with eegnet
2026-01-07 03:23:15 | INFO | root | Namespace(dataset='seediv', model='eegnet', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=3, config='PTR3d_8_2048_rank30_3d_interpolate.yaml', sample_num=512, visualize=False)
2026-01-07 03:23:15 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-07 03:23:26 | INFO | root | Dataset: seediv
2026-01-07 03:23:26 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-07 03:23:26 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 03:23:26 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-07 03:23:26 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 03:23:30 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 62, 1000]), clean_data shape: torch.Size([512, 1, 62, 1000])
2026-01-07 03:23:30 | INFO | root | 
2026-01-07 03:23:30 | INFO | root | Model: eegnet, fold: 0
2026-01-07 03:23:30 | INFO | root | Adversarial data accuracy: 0.0, loss: 13.99525898694992
2026-01-07 03:23:30 | INFO | root | Clean data accuracy: 0.619140625, loss: 0.9411252774298191
2026-01-07 03:23:31 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:23:32 | INFO | root | End purification for resolution 128*128, loss=0.0556517131626606, iterations=256
2026-01-07 03:23:32 | INFO | root | End purification for resolution 256*256, loss=0.06029336899518967, iterations=256
2026-01-07 03:23:34 | INFO | root | End purification for resolution 512*512, loss=0.10003193467855453, iterations=512
2026-01-07 03:23:38 | INFO | root | End purification for resolution 1024*1024, loss=0.11967967450618744, iterations=1024
2026-01-07 03:23:38 | INFO | root | Training time: 7.472625494003296, loss: 0.11967967450618744, params_num: 16938
2026-01-07 03:23:38 | INFO | root | Purified data 0, shape: torch.Size([1, 62, 1000]), mse:0.14674079418182373, compression rate: 0.27319354838709675, 3.660408548825127x
2026-01-07 03:23:38 | INFO | root | 
2026-01-07 03:23:38 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:23:39 | INFO | root | End purification for resolution 128*128, loss=0.07140511274337769, iterations=256
2026-01-07 03:23:40 | INFO | root | End purification for resolution 256*256, loss=0.09506510943174362, iterations=256
2026-01-07 03:23:42 | INFO | root | End purification for resolution 512*512, loss=0.14419271051883698, iterations=512
2026-01-07 03:23:46 | INFO | root | End purification for resolution 1024*1024, loss=0.16983141005039215, iterations=1024
2026-01-07 03:23:46 | INFO | root | Training time: 7.759361743927002, loss: 0.16983141005039215, params_num: 16938
2026-01-07 03:23:46 | INFO | root | Purified data 1, shape: torch.Size([1, 62, 1000]), mse:0.20708492398262024, compression rate: 0.27319354838709675, 3.660408548825127x
2026-01-07 03:23:46 | INFO | root | 
2026-01-07 03:23:46 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:23:47 | INFO | root | End purification for resolution 128*128, loss=0.05701056867837906, iterations=256
2026-01-07 03:23:48 | INFO | root | End purification for resolution 256*256, loss=0.08133944869041443, iterations=256
2026-01-07 03:23:50 | INFO | root | End purification for resolution 512*512, loss=0.16080553829669952, iterations=512
2026-01-07 03:23:54 | INFO | root | End purification for resolution 1024*1024, loss=0.1950252503156662, iterations=1024
2026-01-07 03:23:54 | INFO | root | Training time: 7.099255561828613, loss: 0.1950252503156662, params_num: 16938
2026-01-07 03:23:54 | INFO | root | Purified data 2, shape: torch.Size([1, 62, 1000]), mse:0.23819072544574738, compression rate: 0.27319354838709675, 3.660408548825127x
2026-01-07 03:23:54 | INFO | root | 
2026-01-07 03:23:54 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:23:55 | INFO | root | End purification for resolution 128*128, loss=0.06679165363311768, iterations=256
2026-01-07 03:23:56 | INFO | root | End purification for resolution 256*256, loss=0.11119668185710907, iterations=256
2026-01-07 03:23:58 | INFO | root | End purification for resolution 512*512, loss=0.20854349434375763, iterations=512
2026-01-07 03:24:02 | INFO | root | End purification for resolution 1024*1024, loss=0.2525423467159271, iterations=1024
2026-01-07 03:24:02 | INFO | root | Training time: 7.778289556503296, loss: 0.2525423467159271, params_num: 16938
2026-01-07 03:24:02 | INFO | root | Purified data 3, shape: torch.Size([1, 62, 1000]), mse:0.31253930926322937, compression rate: 0.27319354838709675, 3.660408548825127x
2026-01-07 03:24:02 | INFO | root | 
2026-01-07 03:24:02 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:24:03 | INFO | root | End purification for resolution 128*128, loss=0.05668628588318825, iterations=256
2026-01-07 03:24:04 | INFO | root | End purification for resolution 256*256, loss=0.0712849423289299, iterations=256
2026-01-07 03:24:06 | INFO | root | End purification for resolution 512*512, loss=0.14539940655231476, iterations=512
