2026-01-07 03:20:15 | INFO | root | Purifying autoattack on seediv with eegnet
2026-01-07 03:20:15 | INFO | root | Namespace(dataset='seediv', model='eegnet', fold=0, attack='autoattack', eps=0.1, batch_size=32, seed=42, gpu_id=3, config='PTR3d_8_2048_rank25_3d_interpolate.yaml', sample_num=512, visualize=False)
2026-01-07 03:20:15 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-07 03:20:27 | INFO | root | Dataset: seediv
2026-01-07 03:20:27 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-07 03:20:27 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 03:20:27 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-07 03:20:27 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-07 03:20:30 | INFO | root | Adversarial and clean data loaded, ad_data shape: torch.Size([512, 1, 62, 1000]), clean_data shape: torch.Size([512, 1, 62, 1000])
2026-01-07 03:20:30 | INFO | root | 
2026-01-07 03:20:30 | INFO | root | Model: eegnet, fold: 0
2026-01-07 03:20:31 | INFO | root | Adversarial data accuracy: 0.0, loss: 13.99525898694992
2026-01-07 03:20:31 | INFO | root | Clean data accuracy: 0.619140625, loss: 0.9411252774298191
2026-01-07 03:20:31 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:20:32 | INFO | root | End purification for resolution 128*128, loss=0.078798308968544, iterations=256
2026-01-07 03:20:33 | INFO | root | End purification for resolution 256*256, loss=0.07789157330989838, iterations=256
2026-01-07 03:20:35 | INFO | root | End purification for resolution 512*512, loss=0.12453992664813995, iterations=512
2026-01-07 03:20:40 | INFO | root | End purification for resolution 1024*1024, loss=0.14648211002349854, iterations=1024
2026-01-07 03:20:40 | INFO | root | Training time: 8.722347021102905, loss: 0.14648211002349854, params_num: 12358
2026-01-07 03:20:40 | INFO | root | Purified data 0, shape: torch.Size([1, 62, 1000]), mse:0.17800594866275787, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:20:40 | INFO | root | 
2026-01-07 03:20:40 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:20:41 | INFO | root | End purification for resolution 128*128, loss=0.10257803648710251, iterations=256
2026-01-07 03:20:42 | INFO | root | End purification for resolution 256*256, loss=0.12686371803283691, iterations=256
2026-01-07 03:20:44 | INFO | root | End purification for resolution 512*512, loss=0.17834384739398956, iterations=512
2026-01-07 03:20:49 | INFO | root | End purification for resolution 1024*1024, loss=0.20585891604423523, iterations=1024
2026-01-07 03:20:49 | INFO | root | Training time: 9.301049947738647, loss: 0.20585891604423523, params_num: 12358
2026-01-07 03:20:49 | INFO | root | Purified data 1, shape: torch.Size([1, 62, 1000]), mse:0.25010669231414795, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:20:49 | INFO | root | 
2026-01-07 03:20:50 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:20:51 | INFO | root | End purification for resolution 128*128, loss=0.06970418244600296, iterations=256
2026-01-07 03:20:52 | INFO | root | End purification for resolution 256*256, loss=0.11379659920930862, iterations=256
2026-01-07 03:20:54 | INFO | root | End purification for resolution 512*512, loss=0.1985921710729599, iterations=512
2026-01-07 03:20:58 | INFO | root | End purification for resolution 1024*1024, loss=0.23869481682777405, iterations=1024
2026-01-07 03:20:58 | INFO | root | Training time: 8.643745422363281, loss: 0.23869481682777405, params_num: 12358
2026-01-07 03:20:58 | INFO | root | Purified data 2, shape: torch.Size([1, 62, 1000]), mse:0.29099541902542114, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:20:58 | INFO | root | 
2026-01-07 03:20:59 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:20:59 | INFO | root | End purification for resolution 128*128, loss=0.09582456946372986, iterations=256
2026-01-07 03:21:00 | INFO | root | End purification for resolution 256*256, loss=0.14664232730865479, iterations=256
2026-01-07 03:21:02 | INFO | root | End purification for resolution 512*512, loss=0.25759637355804443, iterations=512
2026-01-07 03:21:06 | INFO | root | End purification for resolution 1024*1024, loss=0.30951642990112305, iterations=1024
2026-01-07 03:21:06 | INFO | root | Training time: 7.899335622787476, loss: 0.30951642990112305, params_num: 12358
2026-01-07 03:21:07 | INFO | root | Purified data 3, shape: torch.Size([1, 62, 1000]), mse:0.37922146916389465, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:21:07 | INFO | root | 
2026-01-07 03:21:07 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:21:08 | INFO | root | End purification for resolution 128*128, loss=0.069448322057724, iterations=256
2026-01-07 03:21:09 | INFO | root | End purification for resolution 256*256, loss=0.09169872850179672, iterations=256
2026-01-07 03:21:11 | INFO | root | End purification for resolution 512*512, loss=0.17680715024471283, iterations=512
2026-01-07 03:21:15 | INFO | root | End purification for resolution 1024*1024, loss=0.2251390516757965, iterations=1024
2026-01-07 03:21:15 | INFO | root | Training time: 8.076844215393066, loss: 0.2251390516757965, params_num: 12358
2026-01-07 03:21:15 | INFO | root | Purified data 4, shape: torch.Size([1, 62, 1000]), mse:0.27834978699684143, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:21:15 | INFO | root | 
2026-01-07 03:21:15 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:21:16 | INFO | root | End purification for resolution 128*128, loss=0.06109292060136795, iterations=256
2026-01-07 03:21:17 | INFO | root | End purification for resolution 256*256, loss=0.06956500560045242, iterations=256
2026-01-07 03:21:19 | INFO | root | End purification for resolution 512*512, loss=0.12292210757732391, iterations=512
2026-01-07 03:21:23 | INFO | root | End purification for resolution 1024*1024, loss=0.14867755770683289, iterations=1024
2026-01-07 03:21:23 | INFO | root | Training time: 8.345990657806396, loss: 0.14867755770683289, params_num: 12358
2026-01-07 03:21:24 | INFO | root | Purified data 5, shape: torch.Size([1, 62, 1000]), mse:0.18314775824546814, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:21:24 | INFO | root | 
2026-01-07 03:21:24 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:21:25 | INFO | root | End purification for resolution 128*128, loss=0.08270157128572464, iterations=256
2026-01-07 03:21:26 | INFO | root | End purification for resolution 256*256, loss=0.09864800423383713, iterations=256
2026-01-07 03:21:28 | INFO | root | End purification for resolution 512*512, loss=0.20130550861358643, iterations=512
2026-01-07 03:21:32 | INFO | root | End purification for resolution 1024*1024, loss=0.2513701319694519, iterations=1024
2026-01-07 03:21:32 | INFO | root | Training time: 8.4564950466156, loss: 0.2513701319694519, params_num: 12358
2026-01-07 03:21:32 | INFO | root | Purified data 6, shape: torch.Size([1, 62, 1000]), mse:0.31087449193000793, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:21:32 | INFO | root | 
2026-01-07 03:21:33 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:21:34 | INFO | root | End purification for resolution 128*128, loss=0.10501746088266373, iterations=256
2026-01-07 03:21:35 | INFO | root | End purification for resolution 256*256, loss=0.12972572445869446, iterations=256
2026-01-07 03:21:37 | INFO | root | End purification for resolution 512*512, loss=0.2293930947780609, iterations=512
2026-01-07 03:21:42 | INFO | root | End purification for resolution 1024*1024, loss=0.2808351516723633, iterations=1024
2026-01-07 03:21:42 | INFO | root | Training time: 9.146501302719116, loss: 0.2808351516723633, params_num: 12358
2026-01-07 03:21:42 | INFO | root | Purified data 7, shape: torch.Size([1, 62, 1000]), mse:0.34875327348709106, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:21:42 | INFO | root | 
2026-01-07 03:21:42 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:21:43 | INFO | root | End purification for resolution 128*128, loss=0.10229010879993439, iterations=256
2026-01-07 03:21:44 | INFO | root | End purification for resolution 256*256, loss=0.10294704884290695, iterations=256
2026-01-07 03:21:46 | INFO | root | End purification for resolution 512*512, loss=0.16252762079238892, iterations=512
2026-01-07 03:21:50 | INFO | root | End purification for resolution 1024*1024, loss=0.18941980600357056, iterations=1024
2026-01-07 03:21:50 | INFO | root | Training time: 8.035665512084961, loss: 0.18941980600357056, params_num: 12358
2026-01-07 03:21:50 | INFO | root | Purified data 8, shape: torch.Size([1, 62, 1000]), mse:0.23182058334350586, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:21:50 | INFO | root | 
2026-01-07 03:21:50 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:21:51 | INFO | root | End purification for resolution 128*128, loss=0.0615110881626606, iterations=256
2026-01-07 03:21:52 | INFO | root | End purification for resolution 256*256, loss=0.07501222938299179, iterations=256
2026-01-07 03:21:54 | INFO | root | End purification for resolution 512*512, loss=0.1496683955192566, iterations=512
2026-01-07 03:21:58 | INFO | root | End purification for resolution 1024*1024, loss=0.1891741305589676, iterations=1024
2026-01-07 03:21:58 | INFO | root | Training time: 7.7847371101379395, loss: 0.1891741305589676, params_num: 12358
2026-01-07 03:21:58 | INFO | root | Purified data 9, shape: torch.Size([1, 62, 1000]), mse:0.22925437986850739, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:21:58 | INFO | root | 
2026-01-07 03:21:58 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:21:59 | INFO | root | End purification for resolution 128*128, loss=0.08869854360818863, iterations=256
2026-01-07 03:22:00 | INFO | root | End purification for resolution 256*256, loss=0.12482102960348129, iterations=256
2026-01-07 03:22:02 | INFO | root | End purification for resolution 512*512, loss=0.24628272652626038, iterations=512
2026-01-07 03:22:06 | INFO | root | End purification for resolution 1024*1024, loss=0.30560389161109924, iterations=1024
2026-01-07 03:22:06 | INFO | root | Training time: 8.062365293502808, loss: 0.30560389161109924, params_num: 12358
2026-01-07 03:22:07 | INFO | root | Purified data 10, shape: torch.Size([1, 62, 1000]), mse:0.3829975426197052, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:22:07 | INFO | root | 
2026-01-07 03:22:07 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:22:08 | INFO | root | End purification for resolution 128*128, loss=0.10184862464666367, iterations=256
2026-01-07 03:22:09 | INFO | root | End purification for resolution 256*256, loss=0.114946648478508, iterations=256
2026-01-07 03:22:11 | INFO | root | End purification for resolution 512*512, loss=0.18911154568195343, iterations=512
2026-01-07 03:22:14 | INFO | root | End purification for resolution 1024*1024, loss=0.22731071710586548, iterations=1024
2026-01-07 03:22:14 | INFO | root | Training time: 7.680887222290039, loss: 0.22731071710586548, params_num: 12358
2026-01-07 03:22:14 | INFO | root | Purified data 11, shape: torch.Size([1, 62, 1000]), mse:0.2822583019733429, compression rate: 0.19932258064516128, 5.016993040945136x
2026-01-07 03:22:14 | INFO | root | 
2026-01-07 03:22:15 | INFO | root | original data shape: torch.Size([1, 62, 1000]), Resized data shape: torch.Size([9, 9, 1024])
2026-01-07 03:22:16 | INFO | root | End purification for resolution 128*128, loss=0.09808896481990814, iterations=256
2026-01-07 03:22:17 | INFO | root | End purification for resolution 256*256, loss=0.12374969571828842, iterations=256
2026-01-07 03:22:19 | INFO | root | End purification for resolution 512*512, loss=0.20420654118061066, iterations=512
2026-01-07 03:22:23 | INFO | root | End purification for resolution 1024*1024, loss=0.2435690313577652, iterations=1024
2026-01-07 03:22:23 | INFO | root | Training time: 7.875777959823608, loss: 0.2435690313577652, params_num: 12358
