2026-01-05 13:39:30 | INFO | root | Training seediv with eegnet
2026-01-05 13:39:30 | INFO | root | Namespace(dataset='seediv', model='eegnet', at_strategy='fbf', epsilon=0.1, pgd_step_size=0.01, pgd_steps=20, fbf_replays=2, trades_beta=0.1, clean_ratio=0.0, clip_min=None, clip_max=None, pgd_random_start=True, epochs=400, batch_size=128, lr=0.001, weight_decay=0, patience=20, seed=42, gpu_id=3)
2026-01-05 13:39:30 | INFO | root | AT config | strategy: fbf, eps: 0.1, step size: 0.01, steps: 20, fbf_replays: 2, trades_beta: 0.1, clean_ratio: 0.0, random_start: True, clip_min/max: (None, None)
2026-01-05 13:39:30 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2026-01-05 13:39:45 | INFO | root | Dataset: seediv, Sample_num: 37575, num_classes: 4
2026-01-05 13:39:45 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2026-01-05 13:39:45 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-05 13:39:45 | INFO | root | sample num in train set: 30060, sample num in test set: 7515
2026-01-05 13:39:46 | INFO | root | Model: eegnet, Parameter Num: 4080
2026-01-05 13:39:46 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2026-01-05 13:39:46 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2026-01-05 13:39:46 | INFO | root | sample num in train set: 30060, sample num in val set: 3757, sample num in test set: 3758
2026-01-05 13:44:15 | INFO | root | Epoch: 1, Train Loss: 1.3816, Val Acc: 0.3692, Val Loss: 1.2979, Test Acc: 0.3590, Test Loss: 1.3173, Learning Rate: 0.001000
2026-01-05 13:45:46 | INFO | root | Epoch: 2, Train Loss: 1.2996, Val Acc: 0.4783, Val Loss: 1.1739, Test Acc: 0.4585, Test Loss: 1.2001, Learning Rate: 0.001000
2026-01-05 13:47:26 | INFO | root | Epoch: 3, Train Loss: 1.2459, Val Acc: 0.5017, Val Loss: 1.1234, Test Acc: 0.4963, Test Loss: 1.1508, Learning Rate: 0.001000
2026-01-05 13:59:02 | INFO | root | Epoch: 4, Train Loss: 1.2190, Val Acc: 0.5108, Val Loss: 1.1106, Test Acc: 0.5064, Test Loss: 1.1353, Learning Rate: 0.001000
2026-01-05 14:09:07 | INFO | root | Epoch: 5, Train Loss: 1.2038, Val Acc: 0.5020, Val Loss: 1.1196, Test Acc: 0.4984, Test Loss: 1.1366, Learning Rate: 0.001000
2026-01-05 14:19:42 | INFO | root | Epoch: 6, Train Loss: 1.1959, Val Acc: 0.5166, Val Loss: 1.0975, Test Acc: 0.5162, Test Loss: 1.1118, Learning Rate: 0.001000
2026-01-05 14:30:00 | INFO | root | Epoch: 7, Train Loss: 1.1903, Val Acc: 0.5150, Val Loss: 1.0984, Test Acc: 0.5024, Test Loss: 1.1230, Learning Rate: 0.001000
2026-01-05 14:38:57 | INFO | root | Epoch: 8, Train Loss: 1.1830, Val Acc: 0.5464, Val Loss: 1.0714, Test Acc: 0.5335, Test Loss: 1.0941, Learning Rate: 0.001000
2026-01-05 14:44:24 | INFO | root | Epoch: 9, Train Loss: 1.1805, Val Acc: 0.4333, Val Loss: 1.2291, Test Acc: 0.4282, Test Loss: 1.2345, Learning Rate: 0.001000
2026-01-05 14:50:20 | INFO | root | Epoch: 10, Train Loss: 1.1797, Val Acc: 0.4929, Val Loss: 1.1211, Test Acc: 0.4894, Test Loss: 1.1315, Learning Rate: 0.001000
2026-01-05 14:54:57 | INFO | root | Epoch: 11, Train Loss: 1.1780, Val Acc: 0.5358, Val Loss: 1.0734, Test Acc: 0.5298, Test Loss: 1.0869, Learning Rate: 0.001000
2026-01-05 14:59:32 | INFO | root | Epoch: 12, Train Loss: 1.1725, Val Acc: 0.5345, Val Loss: 1.0720, Test Acc: 0.5407, Test Loss: 1.0858, Learning Rate: 0.001000
2026-01-05 15:05:32 | INFO | root | Epoch: 13, Train Loss: 1.1743, Val Acc: 0.5161, Val Loss: 1.0888, Test Acc: 0.5125, Test Loss: 1.1147, Learning Rate: 0.001000
2026-01-05 15:10:29 | INFO | root | Epoch: 14, Train Loss: 1.1713, Val Acc: 0.5063, Val Loss: 1.1012, Test Acc: 0.5035, Test Loss: 1.1130, Learning Rate: 0.001000
2026-01-05 15:14:24 | INFO | root | Epoch: 15, Train Loss: 1.1703, Val Acc: 0.5268, Val Loss: 1.0756, Test Acc: 0.5221, Test Loss: 1.0903, Learning Rate: 0.001000
2026-01-05 15:16:54 | INFO | root | Epoch: 16, Train Loss: 1.1704, Val Acc: 0.5068, Val Loss: 1.1173, Test Acc: 0.5093, Test Loss: 1.1212, Learning Rate: 0.001000
2026-01-05 15:18:31 | INFO | root | Epoch: 17, Train Loss: 1.1662, Val Acc: 0.5124, Val Loss: 1.0971, Test Acc: 0.5176, Test Loss: 1.1045, Learning Rate: 0.001000
2026-01-05 15:20:00 | INFO | root | Epoch: 18, Train Loss: 1.1630, Val Acc: 0.4847, Val Loss: 1.1180, Test Acc: 0.4888, Test Loss: 1.1365, Learning Rate: 0.001000
2026-01-05 15:21:30 | INFO | root | Epoch: 19, Train Loss: 1.1647, Val Acc: 0.5374, Val Loss: 1.0523, Test Acc: 0.5389, Test Loss: 1.0710, Learning Rate: 0.001000
2026-01-05 15:22:59 | INFO | root | Epoch: 20, Train Loss: 1.1651, Val Acc: 0.4504, Val Loss: 1.2090, Test Acc: 0.4388, Test Loss: 1.2179, Learning Rate: 0.001000
2026-01-05 15:24:26 | INFO | root | Epoch: 21, Train Loss: 1.1640, Val Acc: 0.5201, Val Loss: 1.0705, Test Acc: 0.5234, Test Loss: 1.0921, Learning Rate: 0.001000
2026-01-05 15:25:57 | INFO | root | Epoch: 22, Train Loss: 1.1603, Val Acc: 0.5252, Val Loss: 1.0758, Test Acc: 0.5293, Test Loss: 1.0877, Learning Rate: 0.001000
2026-01-05 15:27:29 | INFO | root | Epoch: 23, Train Loss: 1.1598, Val Acc: 0.5382, Val Loss: 1.0667, Test Acc: 0.5242, Test Loss: 1.0880, Learning Rate: 0.001000
2026-01-05 15:28:58 | INFO | root | Epoch: 24, Train Loss: 1.1584, Val Acc: 0.5092, Val Loss: 1.1086, Test Acc: 0.5128, Test Loss: 1.1209, Learning Rate: 0.001000
2026-01-05 15:30:36 | INFO | root | Epoch: 25, Train Loss: 1.1577, Val Acc: 0.5574, Val Loss: 1.0435, Test Acc: 0.5359, Test Loss: 1.0649, Learning Rate: 0.001000
2026-01-05 15:32:12 | INFO | root | Epoch: 26, Train Loss: 1.1587, Val Acc: 0.5206, Val Loss: 1.0777, Test Acc: 0.5269, Test Loss: 1.0923, Learning Rate: 0.001000
2026-01-05 15:33:47 | INFO | root | Epoch: 27, Train Loss: 1.1577, Val Acc: 0.5073, Val Loss: 1.0940, Test Acc: 0.5093, Test Loss: 1.1090, Learning Rate: 0.001000
2026-01-05 15:35:15 | INFO | root | Epoch: 28, Train Loss: 1.1569, Val Acc: 0.5531, Val Loss: 1.0418, Test Acc: 0.5458, Test Loss: 1.0650, Learning Rate: 0.001000
2026-01-05 15:36:45 | INFO | root | Epoch: 29, Train Loss: 1.1573, Val Acc: 0.4921, Val Loss: 1.1164, Test Acc: 0.4925, Test Loss: 1.1232, Learning Rate: 0.001000
2026-01-05 15:38:18 | INFO | root | Epoch: 30, Train Loss: 1.1567, Val Acc: 0.5395, Val Loss: 1.0570, Test Acc: 0.5415, Test Loss: 1.0696, Learning Rate: 0.001000
2026-01-05 15:39:59 | INFO | root | Epoch: 31, Train Loss: 1.1559, Val Acc: 0.5385, Val Loss: 1.0614, Test Acc: 0.5375, Test Loss: 1.0714, Learning Rate: 0.001000
2026-01-05 15:41:45 | INFO | root | Epoch: 32, Train Loss: 1.1553, Val Acc: 0.4906, Val Loss: 1.1055, Test Acc: 0.4992, Test Loss: 1.1219, Learning Rate: 0.001000
2026-01-05 15:43:05 | INFO | root | Epoch: 33, Train Loss: 1.1562, Val Acc: 0.5116, Val Loss: 1.0868, Test Acc: 0.5120, Test Loss: 1.0971, Learning Rate: 0.001000
2026-01-05 15:44:52 | INFO | root | Epoch: 34, Train Loss: 1.1555, Val Acc: 0.5462, Val Loss: 1.0497, Test Acc: 0.5460, Test Loss: 1.0598, Learning Rate: 0.001000
2026-01-05 15:46:24 | INFO | root | Epoch: 35, Train Loss: 1.1571, Val Acc: 0.5361, Val Loss: 1.0579, Test Acc: 0.5354, Test Loss: 1.0737, Learning Rate: 0.001000
2026-01-05 15:47:56 | INFO | root | Epoch: 36, Train Loss: 1.1549, Val Acc: 0.5566, Val Loss: 1.0269, Test Acc: 0.5556, Test Loss: 1.0494, Learning Rate: 0.001000
2026-01-05 15:49:26 | INFO | root | Epoch: 37, Train Loss: 1.1541, Val Acc: 0.5614, Val Loss: 1.0302, Test Acc: 0.5516, Test Loss: 1.0508, Learning Rate: 0.001000
2026-01-05 15:50:57 | INFO | root | Epoch: 38, Train Loss: 1.1541, Val Acc: 0.5305, Val Loss: 1.0669, Test Acc: 0.5327, Test Loss: 1.0785, Learning Rate: 0.001000
2026-01-05 15:52:19 | INFO | root | Epoch: 39, Train Loss: 1.1543, Val Acc: 0.5044, Val Loss: 1.1231, Test Acc: 0.5090, Test Loss: 1.1225, Learning Rate: 0.001000
2026-01-05 15:53:51 | INFO | root | Epoch: 40, Train Loss: 1.1535, Val Acc: 0.5409, Val Loss: 1.0582, Test Acc: 0.5335, Test Loss: 1.0687, Learning Rate: 0.001000
2026-01-05 15:55:25 | INFO | root | Epoch: 41, Train Loss: 1.1519, Val Acc: 0.5353, Val Loss: 1.0551, Test Acc: 0.5282, Test Loss: 1.0708, Learning Rate: 0.001000
2026-01-05 15:56:56 | INFO | root | Epoch: 42, Train Loss: 1.1528, Val Acc: 0.5584, Val Loss: 1.0367, Test Acc: 0.5572, Test Loss: 1.0473, Learning Rate: 0.001000
2026-01-05 15:59:00 | INFO | root | Epoch: 43, Train Loss: 1.1524, Val Acc: 0.5246, Val Loss: 1.0649, Test Acc: 0.5295, Test Loss: 1.0804, Learning Rate: 0.001000
2026-01-05 16:01:21 | INFO | root | Epoch: 44, Train Loss: 1.1505, Val Acc: 0.5632, Val Loss: 1.0235, Test Acc: 0.5490, Test Loss: 1.0454, Learning Rate: 0.001000
2026-01-05 16:03:45 | INFO | root | Epoch: 45, Train Loss: 1.1510, Val Acc: 0.5430, Val Loss: 1.0503, Test Acc: 0.5444, Test Loss: 1.0640, Learning Rate: 0.001000
2026-01-05 16:05:49 | INFO | root | Epoch: 46, Train Loss: 1.1517, Val Acc: 0.5025, Val Loss: 1.1076, Test Acc: 0.5011, Test Loss: 1.1134, Learning Rate: 0.001000
2026-01-05 16:08:19 | INFO | root | Epoch: 47, Train Loss: 1.1510, Val Acc: 0.5377, Val Loss: 1.0576, Test Acc: 0.5420, Test Loss: 1.0670, Learning Rate: 0.001000
2026-01-05 16:10:49 | INFO | root | Epoch: 48, Train Loss: 1.1509, Val Acc: 0.4802, Val Loss: 1.1434, Test Acc: 0.4918, Test Loss: 1.1558, Learning Rate: 0.001000
2026-01-05 16:13:04 | INFO | root | Epoch: 49, Train Loss: 1.1502, Val Acc: 0.5294, Val Loss: 1.0645, Test Acc: 0.5218, Test Loss: 1.0875, Learning Rate: 0.001000
2026-01-05 16:15:02 | INFO | root | Epoch: 50, Train Loss: 1.1494, Val Acc: 0.5510, Val Loss: 1.0352, Test Acc: 0.5516, Test Loss: 1.0447, Learning Rate: 0.001000
2026-01-05 16:16:59 | INFO | root | Epoch: 51, Train Loss: 1.1497, Val Acc: 0.5435, Val Loss: 1.0355, Test Acc: 0.5439, Test Loss: 1.0581, Learning Rate: 0.001000
2026-01-05 16:18:28 | INFO | root | Epoch: 52, Train Loss: 1.1509, Val Acc: 0.5478, Val Loss: 1.0531, Test Acc: 0.5434, Test Loss: 1.0646, Learning Rate: 0.001000
2026-01-05 16:20:20 | INFO | root | Epoch: 53, Train Loss: 1.1482, Val Acc: 0.5033, Val Loss: 1.1046, Test Acc: 0.5059, Test Loss: 1.1145, Learning Rate: 0.001000
2026-01-05 16:22:02 | INFO | root | Epoch: 54, Train Loss: 1.1477, Val Acc: 0.5310, Val Loss: 1.0685, Test Acc: 0.5354, Test Loss: 1.0768, Learning Rate: 0.001000
2026-01-05 16:23:48 | INFO | root | Epoch: 55, Train Loss: 1.1493, Val Acc: 0.5523, Val Loss: 1.0323, Test Acc: 0.5596, Test Loss: 1.0394, Learning Rate: 0.000500
2026-01-05 16:25:42 | INFO | root | Epoch: 56, Train Loss: 1.1402, Val Acc: 0.5539, Val Loss: 1.0337, Test Acc: 0.5607, Test Loss: 1.0456, Learning Rate: 0.000500
2026-01-05 16:27:23 | INFO | root | Epoch: 57, Train Loss: 1.1385, Val Acc: 0.5472, Val Loss: 1.0453, Test Acc: 0.5546, Test Loss: 1.0538, Learning Rate: 0.000500
2026-01-05 16:28:47 | INFO | root | Epoch: 58, Train Loss: 1.1378, Val Acc: 0.5209, Val Loss: 1.0744, Test Acc: 0.5274, Test Loss: 1.0899, Learning Rate: 0.000500
