2025-11-26 15:14:05 | INFO | root | Training thubenchmark with eegnet
2025-11-26 15:14:05 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', epochs=400, batch_size=128, lr=0.001, weight_decay=0.0001, patience=20, seed=42, gpu_id=0)
2025-11-26 15:14:05 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-26 15:14:06 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-26 15:14:06 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-26 15:14:06 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-26 15:14:06 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-26 15:14:06 | INFO | root | Model: eegnet, Parameter Num: 32208
2025-11-26 15:14:06 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-26 15:14:06 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-26 15:14:06 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-26 15:14:12 | INFO | root | Epoch: 1, Train Loss: 3.6990, Val Acc: 0.0869, Val Loss: 3.6823, Test Acc: 0.0905, Test Loss: 3.6824, Learning Rate: 0.001000
2025-11-26 15:14:18 | INFO | root | Epoch: 2, Train Loss: 3.4671, Val Acc: 0.4321, Val Loss: 3.4782, Test Acc: 0.3798, Test Loss: 3.4925, Learning Rate: 0.001000
2025-11-26 15:14:23 | INFO | root | Epoch: 3, Train Loss: 2.5113, Val Acc: 0.4976, Val Loss: 2.9636, Test Acc: 0.4595, Test Loss: 3.0312, Learning Rate: 0.001000
2025-11-26 15:14:28 | INFO | root | Epoch: 4, Train Loss: 1.6765, Val Acc: 0.5000, Val Loss: 2.6584, Test Acc: 0.4405, Test Loss: 2.7796, Learning Rate: 0.001000
2025-11-26 15:14:33 | INFO | root | Epoch: 5, Train Loss: 1.3712, Val Acc: 0.5500, Val Loss: 2.3355, Test Acc: 0.5024, Test Loss: 2.4685, Learning Rate: 0.001000
2025-11-26 15:14:39 | INFO | root | Epoch: 6, Train Loss: 1.2149, Val Acc: 0.6048, Val Loss: 2.0378, Test Acc: 0.5655, Test Loss: 2.1765, Learning Rate: 0.001000
2025-11-26 15:14:44 | INFO | root | Epoch: 7, Train Loss: 1.1172, Val Acc: 0.6321, Val Loss: 1.8483, Test Acc: 0.5810, Test Loss: 1.9916, Learning Rate: 0.001000
