2025-11-27 01:48:14 | INFO | root | Training thubenchmark with conformer
2025-11-27 01:48:14 | INFO | root | Namespace(dataset='thubenchmark', model='conformer', epochs=400, batch_size=128, lr=0.001, weight_decay=1e-05, patience=20, seed=42, gpu_id=0)
2025-11-27 01:48:14 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-27 01:48:15 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-27 01:48:15 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-27 01:48:15 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-27 01:48:15 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-27 01:48:15 | INFO | root | Model: conformer, Parameter Num: 1195880
2025-11-27 01:48:15 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-27 01:48:15 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-27 01:48:15 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-27 01:48:39 | INFO | root | Epoch: 1, Train Loss: 3.7721, Val Acc: 0.0274, Val Loss: 3.7147, Test Acc: 0.0286, Test Loss: 3.7108, Learning Rate: 0.001000
2025-11-27 01:49:02 | INFO | root | Epoch: 2, Train Loss: 3.7664, Val Acc: 0.0226, Val Loss: 3.7188, Test Acc: 0.0226, Test Loss: 3.7182, Learning Rate: 0.001000
2025-11-27 01:49:25 | INFO | root | Epoch: 3, Train Loss: 3.7482, Val Acc: 0.0274, Val Loss: 3.7371, Test Acc: 0.0190, Test Loss: 3.7368, Learning Rate: 0.001000
2025-11-27 01:49:48 | INFO | root | Epoch: 4, Train Loss: 3.7306, Val Acc: 0.0286, Val Loss: 3.7026, Test Acc: 0.0381, Test Loss: 3.7081, Learning Rate: 0.001000
