2025-10-21 12:10:25 | INFO | root | Attacking fgsm on seediv with eegnet
2025-10-21 12:10:25 | INFO | root | Namespace(dataset='seediv', model='eegnet', fold=0, attack='fgsm', batch_size=32, seed=42, gpu_id=0)
2025-10-21 12:10:25 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/seediv_EA.
2025-10-21 12:10:29 | INFO | root | Dataset: seediv
2025-10-21 12:10:29 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/kfold_split.
2025-10-21 12:10:29 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-10-21 12:10:29 | INFO | root | Model: eegnet, fold: 0
2025-10-21 12:10:29 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/seediv_split/test_val_split_0.
2025-10-21 12:10:29 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-10-21 12:10:29 | INFO | root | Sample num in test set: 3758
2025-10-21 12:10:29 | INFO | root | test dataset size: 3758
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 1/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 2/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 3/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 4/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 5/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 6/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 7/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 8/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 9/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 10/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 11/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 12/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 13/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 14/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 15/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 16/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 17/118
2025-10-21 12:10:29 | INFO | root | Attacking fgsm on seediv with eegnet, fold: 0, batch: 18/118
