2025-11-27 00:35:14 | INFO | root | Training thubenchmark with conformer
2025-11-27 00:35:14 | INFO | root | Namespace(dataset='thubenchmark', model='conformer', epochs=400, batch_size=128, lr=0.001, weight_decay=0.01, patience=20, seed=42, gpu_id=0)
2025-11-27 00:35:14 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-27 00:35:15 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-27 00:35:15 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-27 00:35:15 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-27 00:35:15 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-27 00:35:15 | INFO | root | Model: conformer, Parameter Num: 1195880
2025-11-27 00:35:15 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-27 00:35:15 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-27 00:35:15 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-27 00:35:39 | INFO | root | Epoch: 1, Train Loss: 3.7719, Val Acc: 0.0274, Val Loss: 3.7147, Test Acc: 0.0286, Test Loss: 3.7108, Learning Rate: 0.001000
2025-11-27 00:36:02 | INFO | root | Epoch: 2, Train Loss: 3.7661, Val Acc: 0.0226, Val Loss: 3.7186, Test Acc: 0.0226, Test Loss: 3.7181, Learning Rate: 0.001000
2025-11-27 00:36:25 | INFO | root | Epoch: 3, Train Loss: 3.7478, Val Acc: 0.0274, Val Loss: 3.7374, Test Acc: 0.0190, Test Loss: 3.7372, Learning Rate: 0.001000
2025-11-27 00:36:48 | INFO | root | Epoch: 4, Train Loss: 3.7301, Val Acc: 0.0321, Val Loss: 3.7078, Test Acc: 0.0321, Test Loss: 3.7159, Learning Rate: 0.001000
2025-11-27 00:37:11 | INFO | root | Epoch: 5, Train Loss: 3.6824, Val Acc: 0.0369, Val Loss: 3.4647, Test Acc: 0.0452, Test Loss: 3.4752, Learning Rate: 0.001000
2025-11-27 00:37:34 | INFO | root | Epoch: 6, Train Loss: 3.4120, Val Acc: 0.1250, Val Loss: 3.0249, Test Acc: 0.0940, Test Loss: 3.0485, Learning Rate: 0.001000
2025-11-27 00:37:58 | INFO | root | Epoch: 7, Train Loss: 2.8483, Val Acc: 0.6000, Val Loss: 1.5453, Test Acc: 0.5774, Test Loss: 1.6845, Learning Rate: 0.001000
2025-11-27 00:38:21 | INFO | root | Epoch: 8, Train Loss: 2.1382, Val Acc: 0.7548, Val Loss: 1.0177, Test Acc: 0.7262, Test Loss: 1.1405, Learning Rate: 0.001000
2025-11-27 00:38:44 | INFO | root | Epoch: 9, Train Loss: 1.6295, Val Acc: 0.8476, Val Loss: 0.6401, Test Acc: 0.8250, Test Loss: 0.7688, Learning Rate: 0.001000
2025-11-27 00:39:07 | INFO | root | Epoch: 10, Train Loss: 1.3106, Val Acc: 0.8786, Val Loss: 0.4782, Test Acc: 0.8679, Test Loss: 0.5358, Learning Rate: 0.001000
2025-11-27 00:39:30 | INFO | root | Epoch: 11, Train Loss: 1.0981, Val Acc: 0.9143, Val Loss: 0.3515, Test Acc: 0.8988, Test Loss: 0.4179, Learning Rate: 0.001000
2025-11-27 00:39:53 | INFO | root | Epoch: 12, Train Loss: 0.9017, Val Acc: 0.9143, Val Loss: 0.3422, Test Acc: 0.9048, Test Loss: 0.3972, Learning Rate: 0.001000
2025-11-27 00:40:17 | INFO | root | Epoch: 13, Train Loss: 0.8091, Val Acc: 0.9107, Val Loss: 0.3103, Test Acc: 0.9060, Test Loss: 0.3653, Learning Rate: 0.001000
2025-11-27 00:40:40 | INFO | root | Epoch: 14, Train Loss: 0.7516, Val Acc: 0.9190, Val Loss: 0.2646, Test Acc: 0.9274, Test Loss: 0.3453, Learning Rate: 0.001000
2025-11-27 00:41:03 | INFO | root | Epoch: 15, Train Loss: 0.6926, Val Acc: 0.9405, Val Loss: 0.2453, Test Acc: 0.9333, Test Loss: 0.2729, Learning Rate: 0.001000
2025-11-27 00:41:26 | INFO | root | Epoch: 16, Train Loss: 0.6275, Val Acc: 0.9393, Val Loss: 0.2174, Test Acc: 0.9333, Test Loss: 0.2762, Learning Rate: 0.001000
2025-11-27 00:41:49 | INFO | root | Epoch: 17, Train Loss: 0.5772, Val Acc: 0.9298, Val Loss: 0.2424, Test Acc: 0.9238, Test Loss: 0.3336, Learning Rate: 0.001000
2025-11-27 00:42:12 | INFO | root | Epoch: 18, Train Loss: 0.5294, Val Acc: 0.9464, Val Loss: 0.2333, Test Acc: 0.9345, Test Loss: 0.2828, Learning Rate: 0.001000
2025-11-27 00:42:36 | INFO | root | Epoch: 19, Train Loss: 0.5439, Val Acc: 0.9179, Val Loss: 0.3802, Test Acc: 0.9095, Test Loss: 0.4167, Learning Rate: 0.001000
2025-11-27 00:42:59 | INFO | root | Epoch: 20, Train Loss: 0.5092, Val Acc: 0.9333, Val Loss: 0.2397, Test Acc: 0.9262, Test Loss: 0.2957, Learning Rate: 0.001000
2025-11-27 00:43:22 | INFO | root | Epoch: 21, Train Loss: 0.5014, Val Acc: 0.9369, Val Loss: 0.2339, Test Acc: 0.9262, Test Loss: 0.3158, Learning Rate: 0.001000
2025-11-27 00:43:45 | INFO | root | Epoch: 22, Train Loss: 0.4682, Val Acc: 0.9429, Val Loss: 0.2241, Test Acc: 0.9286, Test Loss: 0.3315, Learning Rate: 0.001000
2025-11-27 00:44:08 | INFO | root | Epoch: 23, Train Loss: 0.4612, Val Acc: 0.9452, Val Loss: 0.2249, Test Acc: 0.9405, Test Loss: 0.2994, Learning Rate: 0.001000
2025-11-27 00:44:31 | INFO | root | Epoch: 24, Train Loss: 0.4436, Val Acc: 0.9440, Val Loss: 0.2386, Test Acc: 0.9357, Test Loss: 0.2913, Learning Rate: 0.001000
2025-11-27 00:44:55 | INFO | root | Epoch: 25, Train Loss: 0.4218, Val Acc: 0.9464, Val Loss: 0.1747, Test Acc: 0.9321, Test Loss: 0.2984, Learning Rate: 0.001000
2025-11-27 00:45:18 | INFO | root | Epoch: 26, Train Loss: 0.4062, Val Acc: 0.9488, Val Loss: 0.1721, Test Acc: 0.9333, Test Loss: 0.2907, Learning Rate: 0.001000
2025-11-27 00:45:41 | INFO | root | Epoch: 27, Train Loss: 0.4053, Val Acc: 0.9512, Val Loss: 0.1796, Test Acc: 0.9214, Test Loss: 0.3074, Learning Rate: 0.001000
2025-11-27 00:46:04 | INFO | root | Epoch: 28, Train Loss: 0.4080, Val Acc: 0.9560, Val Loss: 0.1560, Test Acc: 0.9310, Test Loss: 0.2689, Learning Rate: 0.001000
