2025-11-26 20:28:04 | INFO | root | Training thubenchmark with eegnet
2025-11-26 20:28:04 | INFO | root | Namespace(dataset='thubenchmark', model='eegnet', epochs=400, batch_size=128, lr=0.001, weight_decay=0.0001, patience=20, seed=42, gpu_id=0)
2025-11-26 20:28:04 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-26 20:28:06 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-26 20:28:06 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-26 20:28:06 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-26 20:28:06 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-26 20:28:06 | INFO | root | Model: eegnet, Parameter Num: 32208
2025-11-26 20:28:06 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-26 20:28:06 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-26 20:28:06 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-26 20:28:17 | INFO | root | Epoch: 1, Train Loss: 3.7004, Val Acc: 0.0917, Val Loss: 3.6805, Test Acc: 0.0940, Test Loss: 3.6805, Learning Rate: 0.001000
2025-11-26 20:28:27 | INFO | root | Epoch: 2, Train Loss: 3.4872, Val Acc: 0.4167, Val Loss: 3.3925, Test Acc: 0.3738, Test Loss: 3.4140, Learning Rate: 0.001000
2025-11-26 20:28:38 | INFO | root | Epoch: 3, Train Loss: 2.5461, Val Acc: 0.6476, Val Loss: 2.3841, Test Acc: 0.6167, Test Loss: 2.4634, Learning Rate: 0.001000
2025-11-26 20:28:48 | INFO | root | Epoch: 4, Train Loss: 1.6200, Val Acc: 0.7036, Val Loss: 1.6666, Test Acc: 0.6667, Test Loss: 1.7889, Learning Rate: 0.001000
2025-11-26 20:28:59 | INFO | root | Epoch: 5, Train Loss: 1.2195, Val Acc: 0.7464, Val Loss: 1.2556, Test Acc: 0.7000, Test Loss: 1.3845, Learning Rate: 0.001000
2025-11-26 20:29:09 | INFO | root | Epoch: 6, Train Loss: 1.0130, Val Acc: 0.7976, Val Loss: 0.9523, Test Acc: 0.7726, Test Loss: 1.0710, Learning Rate: 0.001000
2025-11-26 20:29:19 | INFO | root | Epoch: 7, Train Loss: 0.8823, Val Acc: 0.8333, Val Loss: 0.7714, Test Acc: 0.8119, Test Loss: 0.8740, Learning Rate: 0.001000
2025-11-26 20:29:29 | INFO | root | Epoch: 8, Train Loss: 0.7694, Val Acc: 0.8417, Val Loss: 0.6792, Test Acc: 0.8119, Test Loss: 0.7841, Learning Rate: 0.001000
2025-11-26 20:29:39 | INFO | root | Epoch: 9, Train Loss: 0.6896, Val Acc: 0.8631, Val Loss: 0.6106, Test Acc: 0.8345, Test Loss: 0.7096, Learning Rate: 0.001000
2025-11-26 20:29:50 | INFO | root | Epoch: 10, Train Loss: 0.6252, Val Acc: 0.8643, Val Loss: 0.5693, Test Acc: 0.8417, Test Loss: 0.6720, Learning Rate: 0.001000
2025-11-26 20:30:00 | INFO | root | Epoch: 11, Train Loss: 0.5620, Val Acc: 0.8690, Val Loss: 0.5313, Test Acc: 0.8619, Test Loss: 0.6229, Learning Rate: 0.001000
2025-11-26 20:30:10 | INFO | root | Epoch: 12, Train Loss: 0.5148, Val Acc: 0.8762, Val Loss: 0.4877, Test Acc: 0.8405, Test Loss: 0.5776, Learning Rate: 0.001000
2025-11-26 20:30:20 | INFO | root | Epoch: 13, Train Loss: 0.4735, Val Acc: 0.8952, Val Loss: 0.4369, Test Acc: 0.8679, Test Loss: 0.5258, Learning Rate: 0.001000
2025-11-26 20:30:30 | INFO | root | Epoch: 14, Train Loss: 0.4349, Val Acc: 0.8893, Val Loss: 0.4261, Test Acc: 0.8655, Test Loss: 0.5094, Learning Rate: 0.001000
2025-11-26 20:30:40 | INFO | root | Epoch: 15, Train Loss: 0.4057, Val Acc: 0.8881, Val Loss: 0.4028, Test Acc: 0.8679, Test Loss: 0.4880, Learning Rate: 0.001000
2025-11-26 20:30:50 | INFO | root | Epoch: 16, Train Loss: 0.3788, Val Acc: 0.9036, Val Loss: 0.3795, Test Acc: 0.8833, Test Loss: 0.4652, Learning Rate: 0.001000
2025-11-26 20:31:02 | INFO | root | Epoch: 17, Train Loss: 0.3612, Val Acc: 0.8940, Val Loss: 0.3649, Test Acc: 0.8869, Test Loss: 0.4474, Learning Rate: 0.001000
2025-11-26 20:31:12 | INFO | root | Epoch: 18, Train Loss: 0.3330, Val Acc: 0.8964, Val Loss: 0.3552, Test Acc: 0.8774, Test Loss: 0.4372, Learning Rate: 0.001000
2025-11-26 20:31:22 | INFO | root | Epoch: 19, Train Loss: 0.3182, Val Acc: 0.9071, Val Loss: 0.3416, Test Acc: 0.8881, Test Loss: 0.4120, Learning Rate: 0.001000
2025-11-26 20:31:32 | INFO | root | Epoch: 20, Train Loss: 0.3014, Val Acc: 0.9095, Val Loss: 0.3255, Test Acc: 0.8964, Test Loss: 0.4047, Learning Rate: 0.001000
2025-11-26 20:31:42 | INFO | root | Epoch: 21, Train Loss: 0.2816, Val Acc: 0.9060, Val Loss: 0.3132, Test Acc: 0.8917, Test Loss: 0.3911, Learning Rate: 0.001000
2025-11-26 20:31:52 | INFO | root | Epoch: 22, Train Loss: 0.2673, Val Acc: 0.9143, Val Loss: 0.3085, Test Acc: 0.8893, Test Loss: 0.3808, Learning Rate: 0.001000
2025-11-26 20:32:03 | INFO | root | Epoch: 23, Train Loss: 0.2543, Val Acc: 0.9131, Val Loss: 0.2890, Test Acc: 0.8929, Test Loss: 0.3691, Learning Rate: 0.001000
2025-11-26 20:32:14 | INFO | root | Epoch: 24, Train Loss: 0.2399, Val Acc: 0.9167, Val Loss: 0.2880, Test Acc: 0.8952, Test Loss: 0.3615, Learning Rate: 0.001000
2025-11-26 20:32:25 | INFO | root | Epoch: 25, Train Loss: 0.2340, Val Acc: 0.9060, Val Loss: 0.3000, Test Acc: 0.8952, Test Loss: 0.3611, Learning Rate: 0.001000
2025-11-26 20:32:35 | INFO | root | Epoch: 26, Train Loss: 0.2214, Val Acc: 0.9131, Val Loss: 0.2809, Test Acc: 0.8988, Test Loss: 0.3513, Learning Rate: 0.001000
2025-11-26 20:32:45 | INFO | root | Epoch: 27, Train Loss: 0.2164, Val Acc: 0.9179, Val Loss: 0.2783, Test Acc: 0.8964, Test Loss: 0.3528, Learning Rate: 0.001000
2025-11-26 20:32:55 | INFO | root | Epoch: 28, Train Loss: 0.1999, Val Acc: 0.9155, Val Loss: 0.2816, Test Acc: 0.8964, Test Loss: 0.3429, Learning Rate: 0.001000
