2025-11-28 04:09:00 | INFO | root | Training thubenchmark with atcnet
2025-11-28 04:09:00 | INFO | root | Namespace(dataset='thubenchmark', model='atcnet', epochs=400, batch_size=128, lr=0.001, weight_decay=0.1, patience=20, seed=42, gpu_id=0)
2025-11-28 04:09:00 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-28 04:09:03 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-28 04:09:03 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-28 04:09:03 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 04:09:03 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-28 04:09:04 | INFO | root | Model: atcnet, Parameter Num: 89096
2025-11-28 04:09:04 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-28 04:09:04 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 04:09:04 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-28 04:09:30 | INFO | root | Epoch: 1, Train Loss: 3.7422, Val Acc: 0.0393, Val Loss: 3.6836, Test Acc: 0.0321, Test Loss: 3.6901, Learning Rate: 0.001000
2025-11-28 04:09:53 | INFO | root | Epoch: 2, Train Loss: 3.6626, Val Acc: 0.0667, Val Loss: 3.6081, Test Acc: 0.0750, Test Loss: 3.5960, Learning Rate: 0.001000
2025-11-28 04:10:17 | INFO | root | Epoch: 3, Train Loss: 3.3593, Val Acc: 0.2964, Val Loss: 2.7501, Test Acc: 0.3286, Test Loss: 2.6945, Learning Rate: 0.001000
2025-11-28 04:10:39 | INFO | root | Epoch: 4, Train Loss: 2.0674, Val Acc: 0.8512, Val Loss: 0.9427, Test Acc: 0.8571, Test Loss: 0.9344, Learning Rate: 0.001000
2025-11-28 04:11:01 | INFO | root | Epoch: 5, Train Loss: 0.7306, Val Acc: 0.9381, Val Loss: 0.3231, Test Acc: 0.9381, Test Loss: 0.3129, Learning Rate: 0.001000
2025-11-28 04:11:23 | INFO | root | Epoch: 6, Train Loss: 0.3511, Val Acc: 0.9560, Val Loss: 0.2175, Test Acc: 0.9440, Test Loss: 0.2150, Learning Rate: 0.001000
2025-11-28 04:11:49 | INFO | root | Epoch: 7, Train Loss: 0.2547, Val Acc: 0.9607, Val Loss: 0.1827, Test Acc: 0.9583, Test Loss: 0.1731, Learning Rate: 0.001000
2025-11-28 04:12:23 | INFO | root | Epoch: 8, Train Loss: 0.1939, Val Acc: 0.9667, Val Loss: 0.1683, Test Acc: 0.9548, Test Loss: 0.1723, Learning Rate: 0.001000
2025-11-28 04:12:53 | INFO | root | Epoch: 9, Train Loss: 0.1735, Val Acc: 0.9548, Val Loss: 0.1474, Test Acc: 0.9607, Test Loss: 0.1585, Learning Rate: 0.001000
2025-11-28 04:13:18 | INFO | root | Epoch: 10, Train Loss: 0.1425, Val Acc: 0.9679, Val Loss: 0.1449, Test Acc: 0.9607, Test Loss: 0.1481, Learning Rate: 0.001000
2025-11-28 04:13:45 | INFO | root | Epoch: 11, Train Loss: 0.1285, Val Acc: 0.9750, Val Loss: 0.1319, Test Acc: 0.9655, Test Loss: 0.1383, Learning Rate: 0.001000
2025-11-28 04:14:12 | INFO | root | Epoch: 12, Train Loss: 0.1106, Val Acc: 0.9667, Val Loss: 0.1336, Test Acc: 0.9595, Test Loss: 0.1354, Learning Rate: 0.001000
