2025-11-28 13:30:00 | INFO | root | Training thubenchmark with tsception
2025-11-28 13:30:00 | INFO | root | Namespace(dataset='thubenchmark', model='tsception', epochs=400, batch_size=128, lr=0.01, weight_decay=0.01, patience=20, seed=42, gpu_id=0)
2025-11-28 13:30:00 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-28 13:30:04 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-28 13:30:04 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-28 13:30:04 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 13:30:04 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-28 13:30:04 | INFO | root | Model: tsception, Parameter Num: 100584
2025-11-28 13:30:04 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-28 13:30:04 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 13:30:04 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-28 13:30:24 | INFO | root | Epoch: 1, Train Loss: 2.9178, Val Acc: 0.1893, Val Loss: 2.1786, Test Acc: 0.2095, Test Loss: 2.1799, Learning Rate: 0.010000
2025-11-28 13:30:43 | INFO | root | Epoch: 2, Train Loss: 2.0304, Val Acc: 0.3440, Val Loss: 1.6961, Test Acc: 0.3429, Test Loss: 1.7289, Learning Rate: 0.010000
2025-11-28 13:31:02 | INFO | root | Epoch: 3, Train Loss: 1.7497, Val Acc: 0.3524, Val Loss: 1.6077, Test Acc: 0.3476, Test Loss: 1.6160, Learning Rate: 0.010000
2025-11-28 13:31:22 | INFO | root | Epoch: 4, Train Loss: 1.5602, Val Acc: 0.2988, Val Loss: 1.9154, Test Acc: 0.3179, Test Loss: 1.7855, Learning Rate: 0.010000
2025-11-28 13:31:40 | INFO | root | Epoch: 5, Train Loss: 1.4315, Val Acc: 0.4345, Val Loss: 1.3496, Test Acc: 0.4119, Test Loss: 1.4025, Learning Rate: 0.010000
2025-11-28 13:31:58 | INFO | root | Epoch: 6, Train Loss: 1.3374, Val Acc: 0.3452, Val Loss: 1.5887, Test Acc: 0.3726, Test Loss: 1.5818, Learning Rate: 0.010000
2025-11-28 13:32:17 | INFO | root | Epoch: 7, Train Loss: 1.2370, Val Acc: 0.5250, Val Loss: 1.0922, Test Acc: 0.5726, Test Loss: 1.0323, Learning Rate: 0.010000
2025-11-28 13:32:36 | INFO | root | Epoch: 8, Train Loss: 1.1493, Val Acc: 0.4893, Val Loss: 1.2529, Test Acc: 0.4917, Test Loss: 1.3017, Learning Rate: 0.010000
2025-11-28 13:32:54 | INFO | root | Epoch: 9, Train Loss: 1.1335, Val Acc: 0.4726, Val Loss: 1.1552, Test Acc: 0.4964, Test Loss: 1.1656, Learning Rate: 0.010000
2025-11-28 13:33:14 | INFO | root | Epoch: 10, Train Loss: 1.0311, Val Acc: 0.5155, Val Loss: 1.2695, Test Acc: 0.5226, Test Loss: 1.2687, Learning Rate: 0.010000
2025-11-28 13:33:34 | INFO | root | Epoch: 11, Train Loss: 0.9865, Val Acc: 0.5417, Val Loss: 1.0945, Test Acc: 0.5560, Test Loss: 1.0505, Learning Rate: 0.010000
2025-11-28 13:33:52 | INFO | root | Epoch: 12, Train Loss: 0.9339, Val Acc: 0.6345, Val Loss: 0.9409, Test Acc: 0.6345, Test Loss: 0.8765, Learning Rate: 0.010000
2025-11-28 13:34:11 | INFO | root | Epoch: 13, Train Loss: 0.8703, Val Acc: 0.6107, Val Loss: 0.9743, Test Acc: 0.5929, Test Loss: 0.9763, Learning Rate: 0.010000
2025-11-28 13:34:29 | INFO | root | Epoch: 14, Train Loss: 0.8236, Val Acc: 0.6179, Val Loss: 1.0298, Test Acc: 0.5667, Test Loss: 1.1224, Learning Rate: 0.010000
2025-11-28 13:34:48 | INFO | root | Epoch: 15, Train Loss: 0.8058, Val Acc: 0.6488, Val Loss: 0.8258, Test Acc: 0.6607, Test Loss: 0.8377, Learning Rate: 0.010000
2025-11-28 13:35:06 | INFO | root | Epoch: 16, Train Loss: 0.7686, Val Acc: 0.7048, Val Loss: 0.8222, Test Acc: 0.6905, Test Loss: 0.7688, Learning Rate: 0.010000
2025-11-28 13:35:25 | INFO | root | Epoch: 17, Train Loss: 0.7211, Val Acc: 0.6690, Val Loss: 0.9207, Test Acc: 0.6643, Test Loss: 0.9580, Learning Rate: 0.010000
2025-11-28 13:35:43 | INFO | root | Epoch: 18, Train Loss: 0.7106, Val Acc: 0.7048, Val Loss: 0.8393, Test Acc: 0.7345, Test Loss: 0.7166, Learning Rate: 0.010000
2025-11-28 13:36:02 | INFO | root | Epoch: 19, Train Loss: 0.6652, Val Acc: 0.6226, Val Loss: 1.1375, Test Acc: 0.6690, Test Loss: 0.9531, Learning Rate: 0.010000
2025-11-28 13:36:21 | INFO | root | Epoch: 20, Train Loss: 0.6458, Val Acc: 0.6286, Val Loss: 1.1589, Test Acc: 0.6738, Test Loss: 0.9906, Learning Rate: 0.010000
2025-11-28 13:36:39 | INFO | root | Epoch: 21, Train Loss: 0.6232, Val Acc: 0.6107, Val Loss: 1.1051, Test Acc: 0.5619, Test Loss: 1.1617, Learning Rate: 0.010000
2025-11-28 13:36:57 | INFO | root | Epoch: 22, Train Loss: 0.5914, Val Acc: 0.6012, Val Loss: 1.2764, Test Acc: 0.6369, Test Loss: 1.0482, Learning Rate: 0.010000
2025-11-28 13:37:16 | INFO | root | Epoch: 23, Train Loss: 0.5743, Val Acc: 0.6524, Val Loss: 1.2075, Test Acc: 0.6702, Test Loss: 1.0421, Learning Rate: 0.010000
2025-11-28 13:37:34 | INFO | root | Epoch: 24, Train Loss: 0.5603, Val Acc: 0.7190, Val Loss: 0.9000, Test Acc: 0.6786, Test Loss: 0.9709, Learning Rate: 0.010000
2025-11-28 13:37:53 | INFO | root | Epoch: 25, Train Loss: 0.5847, Val Acc: 0.6476, Val Loss: 1.1510, Test Acc: 0.6333, Test Loss: 1.1800, Learning Rate: 0.010000
2025-11-28 13:38:12 | INFO | root | Epoch: 26, Train Loss: 0.5270, Val Acc: 0.5190, Val Loss: 1.9037, Test Acc: 0.5440, Test Loss: 1.8198, Learning Rate: 0.010000
2025-11-28 13:38:30 | INFO | root | Epoch: 27, Train Loss: 0.5258, Val Acc: 0.7714, Val Loss: 0.7531, Test Acc: 0.7500, Test Loss: 0.7063, Learning Rate: 0.010000
2025-11-28 13:38:49 | INFO | root | Epoch: 28, Train Loss: 0.4916, Val Acc: 0.7548, Val Loss: 0.8519, Test Acc: 0.7167, Test Loss: 0.8189, Learning Rate: 0.010000
2025-11-28 13:39:07 | INFO | root | Epoch: 29, Train Loss: 0.4654, Val Acc: 0.7012, Val Loss: 0.9185, Test Acc: 0.6738, Test Loss: 0.9996, Learning Rate: 0.010000
2025-11-28 13:39:26 | INFO | root | Epoch: 30, Train Loss: 0.4575, Val Acc: 0.7000, Val Loss: 1.0712, Test Acc: 0.6345, Test Loss: 1.1041, Learning Rate: 0.010000
2025-11-28 13:39:45 | INFO | root | Epoch: 31, Train Loss: 0.4358, Val Acc: 0.7250, Val Loss: 0.9884, Test Acc: 0.7155, Test Loss: 0.9142, Learning Rate: 0.010000
2025-11-28 13:40:04 | INFO | root | Epoch: 32, Train Loss: 0.4542, Val Acc: 0.5762, Val Loss: 1.5381, Test Acc: 0.6048, Test Loss: 1.4346, Learning Rate: 0.010000
2025-11-28 13:40:22 | INFO | root | Epoch: 33, Train Loss: 0.4274, Val Acc: 0.5845, Val Loss: 1.9583, Test Acc: 0.5643, Test Loss: 1.8969, Learning Rate: 0.010000
2025-11-28 13:40:40 | INFO | root | Epoch: 34, Train Loss: 0.4172, Val Acc: 0.7381, Val Loss: 0.8636, Test Acc: 0.7131, Test Loss: 0.8500, Learning Rate: 0.010000
2025-11-28 13:40:59 | INFO | root | Epoch: 35, Train Loss: 0.4201, Val Acc: 0.6821, Val Loss: 1.1482, Test Acc: 0.6631, Test Loss: 1.2027, Learning Rate: 0.010000
2025-11-28 13:41:18 | INFO | root | Epoch: 36, Train Loss: 0.4015, Val Acc: 0.6595, Val Loss: 1.2185, Test Acc: 0.6845, Test Loss: 1.1010, Learning Rate: 0.010000
2025-11-28 13:41:37 | INFO | root | Epoch: 37, Train Loss: 0.3876, Val Acc: 0.7179, Val Loss: 1.1995, Test Acc: 0.6821, Test Loss: 1.1734, Learning Rate: 0.010000
