2025-11-28 04:42:01 | INFO | root | Training thubenchmark with atcnet
2025-11-28 04:42:01 | INFO | root | Namespace(dataset='thubenchmark', model='atcnet', epochs=400, batch_size=128, lr=0.001, weight_decay=0.001, patience=20, seed=42, gpu_id=0)
2025-11-28 04:42:01 | INFO | torcheeg | 🔍 | Detected cached processing results, reading cache from ./cached_data/thubenchmark_EA.
2025-11-28 04:42:06 | INFO | root | Dataset: thubenchmark, Sample_num: 8400, num_classes: 40
2025-11-28 04:42:06 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/kfold_split.
2025-11-28 04:42:06 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 04:42:06 | INFO | root | sample num in train set: 6720, sample num in test set: 1680
2025-11-28 04:42:06 | INFO | root | Model: atcnet, Parameter Num: 89096
2025-11-28 04:42:06 | INFO | torcheeg | 📊 | Detected existing split of train and test set, use existing split from ./cached_data/thubenchmark_split/test_val_split_0.
2025-11-28 04:42:06 | INFO | torcheeg | 💡 | If the dataset is re-generated, you need to re-generate the split of the dataset instead of using the previous split.
2025-11-28 04:42:06 | INFO | root | sample num in train set: 6720, sample num in val set: 840, sample num in test set: 840
2025-11-28 04:42:31 | INFO | root | Epoch: 1, Train Loss: 3.7426, Val Acc: 0.0381, Val Loss: 3.6840, Test Acc: 0.0298, Test Loss: 3.6907, Learning Rate: 0.001000
2025-11-28 04:42:55 | INFO | root | Epoch: 2, Train Loss: 3.6634, Val Acc: 0.0667, Val Loss: 3.6100, Test Acc: 0.0738, Test Loss: 3.5981, Learning Rate: 0.001000
2025-11-28 04:43:18 | INFO | root | Epoch: 3, Train Loss: 3.3692, Val Acc: 0.2857, Val Loss: 2.7747, Test Acc: 0.3214, Test Loss: 2.7184, Learning Rate: 0.001000
2025-11-28 04:43:40 | INFO | root | Epoch: 4, Train Loss: 2.0992, Val Acc: 0.8464, Val Loss: 0.9657, Test Acc: 0.8560, Test Loss: 0.9579, Learning Rate: 0.001000
2025-11-28 04:44:02 | INFO | root | Epoch: 5, Train Loss: 0.7504, Val Acc: 0.9357, Val Loss: 0.3263, Test Acc: 0.9357, Test Loss: 0.3165, Learning Rate: 0.001000
2025-11-28 04:44:24 | INFO | root | Epoch: 6, Train Loss: 0.3560, Val Acc: 0.9560, Val Loss: 0.2161, Test Acc: 0.9417, Test Loss: 0.2150, Learning Rate: 0.001000
2025-11-28 04:44:46 | INFO | root | Epoch: 7, Train Loss: 0.2554, Val Acc: 0.9643, Val Loss: 0.1780, Test Acc: 0.9595, Test Loss: 0.1704, Learning Rate: 0.001000
